account_id;reputation;creation_date;presence;presence_factor;activity;activity_factor;frequency_factor;creation_date_int;regularity_factor
318;2028;2008-08-05 16:58:30;284702490.0;0.9982205743136636;244;0.001872041369045336;0.07404782445000745;1217955510;0.030955993930197268
307;1498;2008-08-05 14:40:04;284710796.0;0.9982496967147014;412;0.003160987885437206;0.12502792482797176;1217947204;0.052200303490136574
268;1323;2008-08-04 21:50:48;284771352.0;0.9984620174608184;809;0.0062068912604822815;0.24545165624665785;1217886648;0.11077389984825493
283;1252;2008-08-05 04:31:33;284747307.0;0.9983777111601978;20;0.00015344601385617506;0.006068538516502985;1217910693;0.004248861911987861
267;1224;2008-08-04 21:20:23;284773177.0;0.9984684162546896;1709;0.013111961884010159;0.5185095083586472;1217884823;0.06100151745068285
342;2774;2008-08-05 20:12:27;284690853.0;0.9981797727989902;1824;0.013994276463683165;0.5535604616000782;1217967147;0.21608497723823974
328;2691;2008-08-05 18:10:01;284698199.0;0.9982055292591424;28;0.00021482441939864503;0.008497419402361586;1217959801;0.004552352048558422
382;2425;2008-08-06 12:40:41;284631559.0;0.9979718768626626;119;0.0009130037824442416;0.036122487738613686;1218026441;0.02185792349726776
355;2367;2008-08-05 23:31:46;284678894.0;0.9981378422916448;20;0.00015344601385617506;0.006069996885684121;1217979106;0.003339404978749241
379;2194;2008-08-06 12:33:20;284632000.0;0.9979734230917572;67;0.0005140441464181866;0.02033783973692347;1218026000;0.006982392228293868
359;2165;2008-08-06 00:14:14;284676346.0;0.998128908523544;51;0.0003912873353332464;0.015478630598975019;1217981654;0.013054037644201578
350;1692;2008-08-05 22:28:20;284682700.0;0.9981511868447809;122;0.0009360206845226678;0.0370264859789513;1217975300;0.014875531268973893
375;1374;2008-08-06 09:36:48;284642592.0;0.9980105606395288;19;0.0001457737131633663;0.005767232473768367;1218015408;0.004250151791135397
324;1077;2008-08-05 17:38:24;284700096.0;0.9982121804985798;78;0.0005984394540390827;0.023671224894845137;1217957904;0.009711684370257967
363;1054;2008-08-06 00:59:40;284673620.0;0.998119350653904;106;0.0008132638734377277;0.03217157950919372;1217984380;0.015179113539769277
358;983;2008-08-05 23:55:45;284677455.0;0.9981327968865048;71;0.0005447333491894215;0.02154859786841919;1217980545;0.010625379477838493
370;938;2008-08-06 04:13:18;284662002.0;0.9980786157568108;249;0.0019104028725093797;0.07557594567890379;1217995998;0.03885853066180935
372;823;2008-08-06 04:59:59;284659201.0;0.9980687949230392;1301;0.009981663201344188;0.3948806137483678;1217998799;0.10686095931997572
383;755;2008-08-06 12:54:09;284630751.0;0.9979690438624172;731;0.005608451806443197;0.2218959117316175;1218027249;0.051001821493624776
332;556;2008-08-05 18:37:26;284696554.0;0.9981997615791872;414;0.0031763324868228234;0.12564114140981136;1217961446;0.046130500758725344
373;485;2008-08-06 05:46:00;284656440.0;0.9980591143368044;52;0.0003989596360260551;0.01578323680293339;1218001560;0.007589556769884639
371;456;2008-08-06 04:15:02;284661898.0;0.9980782511132148;778;0.005969049939005209;0.23613697678640505;1217996102;0.11445051608986036
339;415;2008-08-05 19:26:06;284693634.0;0.9981895235089934;226;0.001733939956574778;0.06858741351413569;1217964366;0.0330804248861912
